id,pubyear,titles,author,affiliated,wos_total,journal,issns,eissns
WOS:000172964800019,2001,Rate sensitivity of shear-induced changes in the lateral diffusion of endothelial cell membrane lipids: a role for membrane perturbation in shear-induced MAPK activation,"Butler, PJ|Usami, S|Li, JYS|Tsou, TC|Chien, S",Univ Calif San Diego|Univ Calif San Diego,58,FASEB JOURNAL,0892-6638,1530-6860
WOS:000174613100049,2002,Identification and characterization of two cation binding sites in the integrin beta(3) subunit,"Zhang, L|Cierniewska-Cieslak, A|Cierniewski, CS|Blecka, K|Papierak, M|Michalec, L|Haas, TA|Plow, EF",Med Univ Lodz|Polish Acad Sci|Amer Red Cross|Cleveland Clin Fdn|Cleveland Clin Fdn,12,JOURNAL OF BIOLOGICAL CHEMISTRY,0021-9258,1083-351X
WOS:000175202600001,2002,Taking the death toll after cardiomyocyte grafting: A reminder of the importance of quantitative biology,"Reinecke, H|Murry, CE",Univ Washington,65,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584
WOS:000175378100021,2002,Corneal expression of the inflammatory mediator CAP37,"Ruan, X|Pereira, HA|Booth, MC|Lee, TD|Kumar, P|Callegan, MC|Gilmore, MS|Chodosh, J",Univ Oklahoma|Univ Oklahoma|Univ Oklahoma,29,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,0146-0404,1552-5783
WOS:000178557800003,2002,Biochemical analysis of collagen and elastin synthesis in the balloon injured rat carotid artery,"Zhang, MY|Strauss, BH|Bendeck, MP|Nili, NF",Roy & Anne Foss Intervent Cardiol Res Program|St Michaels Hosp|Univ Toronto|Univ Toronto,17,CARDIOVASCULAR PATHOLOGY,1054-8807,1879-1336
WOS:000178744400026,2002,Dexfenfluramine protects against pulmonary hypertension in rats,"Mitani, Y|Mutlu, A|Russell, JC|Brindley, DN|DeAlmeida, J|Rabinovitch, M",Univ Alberta|Univ Alberta|Univ Toronto|Stanford Univ,18,JOURNAL OF APPLIED PHYSIOLOGY,8750-7587,1522-1601
WOS:000178793800006,2002,"Mitochondrial DNA diversity in wild and cultured populations of Brycon opalinus (Cuvier, 1819) (Characiformes, Characidae, Bryconinae) from the Paraiba do Sul Basin, Brazil","Azeredo-Espin, AML|Hilsdorf, AWS|Krieger, MH|Krieger, JE",Univ Estadual Campinas|Univ Estadual Campinas|Univ Taubate|Univ Sao Paulo,12,AQUACULTURE,0044-8486,1873-5622
WOS:000179914600013,2002,On the information content of 2D and 3D descriptors for QSAR,"Oprea, TI",AstraZeneca R&D|Univ New Mexico,18,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,0103-5053,1678-4790
WOS:000181425900006,2003,Mechanism of thrombin-induced vasodilation in human coronary arterioles,"McDonald, M|Manthei, SA|Saito, T|Hatoum, OA|Gutterman, DD|Bosnjak, JJ|Sato, A|Miura, H|Terata, K|Nicolosi, AC",Akita Univ|Midwest Heart Surg Inst|Vet Affairs Med Ctr|Med Coll Wisconsin,10,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000181425900008,2003,P38 MAPK: critical molecule in thrombin-induced NF-kappa B-dependent leukocyte recruitment,"Kubes, P|Woodman, RC|Kaur, J",Univ Calgary,36,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000181425900037,2003,Coronary flow-induced inotropism is modulated by binding of dextrans to the endothelial luminal surface,"Gonzalez-Castillo, C|Zenteno-Savin, T|Rubio, R",Ctr Invest Biol Noroeste|Univ Autonona San Luis Potosi,14,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000181623500001,2003,"Keith A. Reimer, MD, PhD, 1945-2002 - In memoriam","Murry, CE|Kloner, RA",Univ Washington,0,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584
WOS:000182392600012,2003,Anti-inflammatory strategies for the treatment of sepsis,"Riedemann, NC|Ward, PA",Univ Michigan,25,EXPERT OPINION ON BIOLOGICAL THERAPY,1471-2598,1744-7682
WOS:000182610600031,2003,Novel strategies for the treatment of sepsis,"Riedemann, NC|Ward, PA|Guo, RF",Univ Michigan,545,NATURE MEDICINE,1078-8956,1546-170X
WOS:000183125500011,2003,A novel rat lipoxin A(4) receptor that is conserved in structure and function,"Arita, M|Takano, T|Chiang, N|Serhan, CN|Watanabe, S",McGill Univ|Harvard Univ|Brigham & Womens Hosp,63,BRITISH JOURNAL OF PHARMACOLOGY,0007-1188,1476-5381
WOS:000183200100007,2003,Tumor necrosis factor-alpha induces early-onset endothelial adhesivity by protein kinase C zeta-dependent activation of intercellular adhesion molecule-1,"Frey, RS|Rahman, A|Anwar, KN|Javaid, K|Minshall, RD|Malik, AB",Univ Illinois,92,CIRCULATION RESEARCH,0009-7330,1524-4571
WOS:000185847200117,2003,A region directly following the second transmembrane domain in gamma ENaC is required for normal channel gating,"Patel, P|Booth, RE|Tong, QS|Medina, J|Snyder, PM|Stockand, JD",Univ Iowa|Univ Iowa|Univ Texas,18,JOURNAL OF BIOLOGICAL CHEMISTRY,0021-9258,1083-351X
WOS:000185958400020,2003,Integrin-mediated suppression of endotoxin-induced DNA damage in lung endothelial cells is sensitive to poly(ADP-ribose) polymerase-1 gene deletion,"Huang, H|Hoyt, DG|Fang, LY|Szabo, C|McIntosh, JL",Semmelweis Univ|Semmelweis Univ|Inotek Corp|Ohio State Univ,6,INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,1107-3756,1791-244X
WOS:000188067500005,2003,Regulatory role of C5a in LPS-induced IL-6 production by neutrophils during sepsis,"Reuben, JS|Guo, RF|Neff, TA|Gao, HW|Zetoune, FS|Sarma, JV|Hollmann, TJ|Wetsel, RA|Ward, PA|Speyer, CL|Riedemann, NC",Univ Texas|Univ Michigan,0,FASEB JOURNAL,0892-6638,1530-6860
WOS:000188602200015,2004,The dark side of C5A in sepsis,"Ward, PA",Univ Michigan,241,NATURE REVIEWS IMMUNOLOGY,1474-1733,1474-1741
WOS:000188783200015,2004,Spatial and temporal control of angiogenesis and arterialization using focal applications of VEGF(164) and Ang-1,"Price, RJ|Skalak, TC|Peirce, SM",Univ Virginia,48,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000189108800006,2004,Coronary vasospasm and the regulation of coronary blood flow,"Gutterman, DD|Konidala, S",Med Coll Wisconsin|Med Coll Wisconsin,42,PROGRESS IN CARDIOVASCULAR DISEASES,0033-0620,1873-1740
WOS:000202989900001,2006,Introduction to the Vascular November-December basic science issue,"Dardik, Alan",Yale Univ,0,VASCULAR,1708-5381,1708-539X
WOS:000208234300010,2009,Integrin linked kinase (ILK) expression and function in vascular smooth muscle cells,"Bendeck, Michelle P.|Ho, Bernard",Univ Toronto,17,CELL ADHESION & MIGRATION,1933-6918,1933-6926
WOS:000209370400091,2013,Controlled mechanical ventilation in septic animals: Effects on diaphragm function,"Nele, Cielen|Gayan-Ramirez, Ghislaine|Decramer, Marc|Hussain, Sabah|Angela, Stamiris|Greet, Hermans|Scott, Powers|Asley, Smuder|Thomas, Debby|Maes, Karen",McGill Univ|Univ Hosp|Univ Florida|KULeuven,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209370400136,2013,Right ventricular lymphatic insufficiency is associated with increased edema in pulmonary hypertension,"Colvin, Kelley|Stenmark, Kurt|Yeager, Michael",Univ Colorado Denver|Univ Colorado Denver|Univ Colorado Denver,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209370400509,2013,Endothelial progenitor cells are dysfunctional in smokers and COPD patients due to increased DNA damage and senescence,"Starke, Richard D.|Paschalaki, Koralia E.|Margariti, Andriana|Randi, Anna M.|Barnes, Peter J.|Gorgoulis, Vassilis G.|Mercado, Nicolas|Hu, Yanhua",Kings Coll London|Univ Athens|Univ London Imperial Coll Sci Technol & Med|Univ London Imperial Coll Sci Technol & Med,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209370402651,2013,Characteristics of idiopathic pulmonary arterial hypertension (IPAH) and PAH associated with connective tissue disease (APAH-CTD) patients in PROSPECT,"Miller, Dave|Barst, Robyn|Benton, Wade|Farber, Harrison|Frantz, Robert|Schilz, Robert|Chakinala, Murali|Hartline, Brian|Rosenberg, Daniel",Columbia Univ Coll Phys & Surg|Actel Pharmaceut Ltd|ICON Plc|Actel Pharmaceut US Inc|Washington Univ|Univ Hosp Cleveland|Mayo Clin|Boston Univ,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209370404344,2013,Roles of circulating and resident myeloid cell subpopulations in bronchopulmonary remodeling and pulmonary hypertension,"Colvin, Kelley|Yeager, Michael|Stenmark, Kurt",Univ Colorado Denver|Univ Colorado Denver|Univ Colorado Denver,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209419300003,2009,The interaction of Thrombospondins with extracellular matrix proteins,"Lawler, Jack|Tan, Kemin",Harvard Univ|Beth Israel Deaconess Med Ctr|Argonne Natl Lab|Argonne Natl Lab,35,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209419300006,2009,"The role of thrombospondins in wound healing, ischemia, and the foreign body reaction","MacLauchlan, Susan|Kyriakides, Themis R.",Yale Univ|Yale Univ|Yale Univ|Yale Univ,55,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209419300010,2009,SPARC: a matricellular regulator of tumorigenesis,"Brekken, Rolf A.|Arnold, Shanna A.",Univ Texas SW Med Ctr Dallas|Univ Texas SW Med Ctr Dallas,77,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209419300011,2009,"The many facets of the matricelluar protein periostin during cardiac development, remodeling, and pathophysiology","Moreno-Rodriguez, Ricardo|Markwald, Roger R.|Norris, Russell A.|Hoffman, Stanley",Med Univ S Carolina,62,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209419600005,2010,A novel role of CCN3 in regulating endothelial inflammation,"Jin, Zheng-Gen|Lin, Zhiyong|Natesan, Viswanath|Shi, Hong|Hamik, Anne|Kawanami, Daiji|Hao, Caili|Mahabaleshwar, Ganapati H.|Wang, Weiye|Atkins, G. Brandon|Firth, Sue M.|Rittie, Laure|Perbal, Bernard|Jain, Mukesh K.",Univ Paris|Univ Michigan|Univ Sydney|Univ Rochester|Univ Rochester|Case Western Reserve Univ|Case Western Reserve Univ,27,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209424100005,2012,Advances in biomimetic regeneration of elastic matrix structures,"Ramamurthi, Anand|Bashur, Chris A.|Sivaraman, Balakrishnan",Cleveland Clin,6,DRUG DELIVERY AND TRANSLATIONAL RESEARCH,2190-393X,2190-3948
WOS:000209535300011,2013,Aortic Root Remodeling and Risk of Heart Failure in the Framingham Heart Study,"Levy, Daniel|Vasan, Ramachandran S.|Cheng, Susan|Benjamin, Emelia J.|Mitchell, Gary F.|Lee, Douglas S.|Aragam, Jayashri|Larson, Martin G.|Gona, Philimon|Lam, Carolyn S. P.",Harvard Univ|NHLBI|Cardiovasc Engn Inc|Univ Toronto|Univ Toronto|Vet Adm Hosp|Boston Univ|Univ Massachusetts|Boston Univ|Boston Univ|Framingham Heart Dis Epidemiol Study,13,JACC-HEART FAILURE,2213-1779,2213-1787
WOS:000209571500002,2014,Talin and kindlin: the one-two punch in integrin activation,"Snider, Adam K.|Ye, Feng|Ginsberg, Mark H.",Univ Calif San Diego,44,FRONTIERS OF MEDICINE,2095-0217,2095-0225
WOS:000209619900001,2012,A Curriculum for the New Dental Practitioner: Preparing Dentists for a Prospective Oral Health Care Environment,"Polverini, Peter J.",Univ Michigan,5,AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,1541-0048
WOS:000209781000009,2007,Expression of conserved signalling pathway genes during spontaneous vascular differentiation of R1 embryonic stem cells and in Py-4-1 endothelial cells,"Inamdar, Maneesha S.|Gokul, K.|Siva, Kavitha",Jawaharlal Nehru Ctr Adv Sci Res,0,JOURNAL OF BIOSCIENCES,0250-5991,0973-7138
WOS:000209827500002,2014,Structural contributions to fibrillatory rotors in a patient-derived computational model of the atria,"McCulloch, Andrew D.|Rappel, Wouter-Jan|Vincent, Kevin P.|Narayan, Sanjiv M.|Gonzales, Matthew J.",VA San Diego Healthcare Syst|Univ Calif San Diego|Univ Calif San Diego|Univ Calif San Diego|Univ Calif San Diego|Univ Calif San Diego,16,EUROPACE,1099-5129,1532-2092
WOS:000209838202583,2014,Loss Of Wnt7a Predisposes To Small Vessel Loss And Pulmonary Hypertension By Reducing Endothelial Response To VEGF Stimulation,"Orcholski, M.|Rojas, V.|Yuan, K.|Crossno, J.|Winn, R.|Perez, V. De Jesus",Stanford Univ|Univ Colorado|Stanford Univ|Stanford Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838203183,2014,Nanoparticle Delivery To Lung Cells And Lungs,"Chun, H. J.|Lee, J. J.|Sauler, M.|Seo, Y. -E.|Kim, J.|Kang, Y.|Lee, P. J.|Saltzman, M.",Yale Univ|Yale Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838204245,2014,Changes In Gene Expression Profiles In Patients With Pulmonary Arterial Hypertension Associated With Scleroderma Treated With Tadalafil,"Farber, H. W.|Gower, A. C.|Cheong, F. -Y.",Boston Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838204301,2014,Resistin-Like Molecule Proteins Cause Vascular Endothelial Activation And Apoptosis: Cross Talk Between Endothelial And Smooth Muscle Cells,"Yamaji-Kegan, K.",Johns Hopkins Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838205344,2014,"Role Of The Mif Receptor, Cd74, In Hyperoxic Lung Injury","Shan, P.|Jorgensen, W. L.|Bucala, R.|Leng, L.|Sauler, M.|Piecychna, M.|Lee, P. J.|Haslip, M.",Yale Univ|Yale Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838206144,2014,Prolonged Mechanical Ventilation In Humans Triggers Myofilament Contractile Dysfunction And Selective Myofilament Protein Degradation In The Diaphragm,"Al Khunaizi, A.|De Varennes, B.|Hussain, S.|Goldberg, P.|Mofarrahi, M.|Cornachione, A.|Leite, F. De Souza|Rassier, D.|Guichon, C.",McGill Univ|McGill Univ,1,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838402676,2013,Tlr4 Protects Against Oxidant-Induced Injury By Regulating The Endothelial Response To VEGF,"Zhang, Y.|Takyar, S.|Shan, P.|Lee, P.|Zhang, J. -G.",Yale Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209839100754,2013,Hypoxia-Induced Mitogenic Factor (himf/fizz1/relm alpha) Induces Pulmonary Endothelial Cell Apoptosis And Subsequent Pulmonary Hypertension In A Th2-Dependent Mechanism,"Meuchel, L.|Yamaji-Kegan, K.|Takimoto, E.|Johns, R. A.",Johns Hopkins Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209839100757,2013,Endothelial-Monocyte-Activating Polypeptide Ii (emapii) Is Involved In Pulmonary Hypertension,"Clauss, M.|Weissmann, N.|Voswinckel, R.|Petrache, I.|Presson, R. G.|Fisher, A.|Wood, J.|Albrecht, M.|Lahm, T.",Justus Liebig Univ Giessen|Indiana Univ Sch Med|IU Sch Med,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209839103009,2013,The Rna Splicing Factor Ptbp1 Plays A Critical Role In Promoting Proliferation And Migration Of Adventitial Fibroblasts In Pulmonary Hypertension,"Flockton, A.|Morrell, N. W.|Wang, D.|Zhang, H.|Stenmark, K. R.|Sucharov, C.|Li, M.",Addenbrookes Hosp|Univ Colorado Denver|Univ Colorado,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209967200012,2002,Endothelial activation: intracellular signaling pathways,"Pober, Jordan S.",Yale Univ,86,ARTHRITIS RESEARCH & THERAPY,1478-6354,1478-6362
WOS:000209981400005,2013,Dysfunctional resident lung mesenchymal stem cells contribute to pulmonary microvascular remodeling,"Majka, Susan M.|West, James D.|Nozik-Grayck, Eva|Wagner, David H., Jr.|Harrison, David G.|Klemm, Dwight J.|Chow, Kelsey|Graham, Brian|Alvarez, Diego|Gaskill, Christa|Schmidt, Eric P.|Kaoriihida-Stansbury|Fessel, Joshua P.",Univ S Alabama|Univ Penn|Vanderbilt Univ|Univ Colorado Denver|Univ Colorado Denver,36,PULMONARY CIRCULATION,2045-8932,2045-8940
WOS:000209981400023,2013,Combining induced pluripotent stem cell with next generation sequencing technology to gain new insights into pathobiology and treatment of pulmonary arterial hypertension,"Rabinovitch, Marlene",Stanford Univ,3,PULMONARY CIRCULATION,2045-8932,2045-8940
WOS:000209981500020,2013,A case of recurrent pericardial constriction presenting with severe pulmonary hypertension,"Zamanian, Roham T.|Kudelko, Kristina T.|Ramachandran, Krithika|Spiekerkoetter, Edda|Yang, Phillip C.|Perez, Vinicio de Jesus|Brunner, Nathan W.|Sung, Yon K.",Stanford Univ|Stanford Univ|Stanford Univ,0,PULMONARY CIRCULATION,2045-8932,2045-8940
WOS:000209982000005,2013,Bone marrow-derived vascular modulatory cells in pulmonary arterial hypertension,"Asosingh, Kewal|Lanzola, Emily|Erzurum, Serpil C.|Farha, Samar",Cleveland Clin|Cleveland Clin,3,PULMONARY CIRCULATION,2045-8932,2045-8940
WOS:000209982200005,2014,Epigenetic modifications: basic mechanisms and role in cardiovascular disease (2013 Grover Conference series),"Handy, Diane E.|Loscalzo, Joseph",Harvard Med Sch,21,PULMONARY CIRCULATION,2045-8932,2045-8940
