id,pubyear,titles,author,affiliated,wos_total,journal,issns,eissns
WOS:000089812000005,2000,Blockade of smooth muscle cell migration and proliferation in baboon aortic explants by interleukin-1 beta and tumor necrosis factor-alpha is nitric oxide-dependent and nitric oxide-independent,"Clowes, AW|Kenagy, RD",Univ Washington,16,JOURNAL OF VASCULAR RESEARCH,1018-1172,1423-0135
WOS:000165186700009,2000,Molecular mechanisms of decreased smooth muscle differentiation marker expression after vascular injury,"Madsen, CS|Regan, CP|Adam, PJ|Owens, GK",Bristol Myers Squibb Co|Univ Virginia,154,JOURNAL OF CLINICAL INVESTIGATION,0021-9738,1558-8238
WOS:000165997000011,2001,Estradiol-induced attenuation of pulmonary hypertension is not associated with altered eNOS expression,"Walker, BR|Resta, TC|Kanagy, NL",Univ New Mexico,69,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,1040-0605,1522-1504
WOS:000166492300002,2001,Transactivation: a novel signaling pathway from angiotensin II to tyrosine kinase receptors,"Berk, BC|Saito, Y",Univ Rochester,123,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584
WOS:000168122300022,2001,"Effects of L-749,329, an ETA/ETB endothelin receptor antagonist, in a porcine coronary artery injury model of vascular restenosis","Holder, DJ|Drag, MD|Huckle, WR|Greenlee, WJ|Johnson, RG|Schwartz, RS|Walsh, TF|Acker, WR|Powers, M|McFall, RC",Mayo Clin & Mayo Fdn|Merck Res Labs|Merck Res Labs|Merck Res Labs|Merck Res Labs,10,CIRCULATION,0009-7322,1524-4539
WOS:000168208500013,2001,Flow-induced dilation of human coronary arterioles - Important role of Ca2+-activated K+ channels,"Saito, T|Wachtel, RE|Liu, YP|Loberiza, FR|Miura, M|Gutterman, DD|Miura, H",Med Coll Wisconsin|Med Coll Wisconsin|Med Coll Wisconsin|Vet Adm Med Ctr|Univ Iowa|Akita Univ,177,CIRCULATION,0009-7322,1524-4539
WOS:000168761600036,2001,Nitric oxide decreases pacemaker activity in lymphatic vessels of guinea pig mesentery,"von der Weid, PY|Zhao, J|Ven Helden, DF",Univ Newcastle|Univ Calgary|Univ Calgary,60,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000168769200006,2001,Cardiomyocyte grafting for cardiac repair: Graft cell death and anti-death strategies,"Walsh, K|Murry, CE|Zhang, M|Methot, D|Poppa, V|Fujio, Y",St Elizabeths Med Ctr|Univ Washington,552,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584
WOS:000169339300019,2001,Evidence for the role of alveolar epithelial gp60 in active transalveolar albumin transport in the rat lung,"Tiruppathi, C|Malik, AB|John, TA|Vogel, SM|Minshall, RD|Ridge, K",Northwestern Univ|Univ Illinois,62,JOURNAL OF PHYSIOLOGY-LONDON,0022-3751,1469-7793
WOS:000169570800002,2001,Vascular smooth muscle growth: Autocrine growth mechanisms,"Berk, BC",Univ Rochester,262,PHYSIOLOGICAL REVIEWS,0031-9333,1522-1210
WOS:000169829200029,2001,Quantification of 3-D regional myocardial deformation: shape-based analysis of magnetic resonance images,"Constable, RT|Dione, DP|Slade, MD|Papademetris, X|Duncan, JS|Sinusas, AJ|Shi, PC",Yale Univ|Yale Univ|Yale Univ,21,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000170085400004,2001,Review article: lymphatic vessel pumping and inflammation - the role of spontaneous constrictions and underlying electrical pacemaker potentials,"Von Der Weid, PY",Univ Calgary,44,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,0269-2813,1365-2036
WOS:000170832100001,2001,Cell-to-cell contact and extracellular matrix - Editorial overview,"Burridge, K|Tsukita, S",Kyoto Univ|Univ N Carolina|Univ N Carolina,11,CURRENT OPINION IN CELL BIOLOGY,0955-0674,1879-0410
WOS:000172519000006,2001,Tibial bypass using complex autologous conduit: Patency and limb salvage,"Lilly, MP|Cohn, EJ|Benjamin, ME|Flinn, WR|Halloran, BG",Univ Maryland,12,ANNALS OF VASCULAR SURGERY,0890-5096,1615-5947
WOS:000172964800019,2001,Rate sensitivity of shear-induced changes in the lateral diffusion of endothelial cell membrane lipids: a role for membrane perturbation in shear-induced MAPK activation,"Tsou, TC|Li, JYS|Butler, PJ|Chien, S|Usami, S",Univ Calif San Diego|Univ Calif San Diego,58,FASEB JOURNAL,0892-6638,1530-6860
WOS:000174613100049,2002,Identification and characterization of two cation binding sites in the integrin beta(3) subunit,"Papierak, M|Blecka, K|Michalec, L|Cierniewski, CS|Cierniewska-Cieslak, A|Plow, EF|Haas, TA|Zhang, L",Med Univ Lodz|Polish Acad Sci|Amer Red Cross|Cleveland Clin Fdn|Cleveland Clin Fdn,12,JOURNAL OF BIOLOGICAL CHEMISTRY,0021-9258,1083-351X
WOS:000175202600001,2002,Taking the death toll after cardiomyocyte grafting: A reminder of the importance of quantitative biology,"Reinecke, H|Murry, CE",Univ Washington,65,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584
WOS:000175378100021,2002,Corneal expression of the inflammatory mediator CAP37,"Kumar, P|Pereira, HA|Ruan, X|Chodosh, J|Callegan, MC|Booth, MC|Lee, TD|Gilmore, MS",Univ Oklahoma|Univ Oklahoma|Univ Oklahoma,29,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,0146-0404,1552-5783
WOS:000178557800003,2002,Biochemical analysis of collagen and elastin synthesis in the balloon injured rat carotid artery,"Nili, NF|Zhang, MY|Bendeck, MP|Strauss, BH",Roy & Anne Foss Intervent Cardiol Res Program|St Michaels Hosp|Univ Toronto|Univ Toronto,17,CARDIOVASCULAR PATHOLOGY,1054-8807,1879-1336
WOS:000178744400026,2002,Dexfenfluramine protects against pulmonary hypertension in rats,"Mutlu, A|Mitani, Y|Brindley, DN|DeAlmeida, J|Rabinovitch, M|Russell, JC",Univ Alberta|Univ Alberta|Univ Toronto|Stanford Univ,18,JOURNAL OF APPLIED PHYSIOLOGY,8750-7587,1522-1601
WOS:000178793800006,2002,"Mitochondrial DNA diversity in wild and cultured populations of Brycon opalinus (Cuvier, 1819) (Characiformes, Characidae, Bryconinae) from the Paraiba do Sul Basin, Brazil","Hilsdorf, AWS|Krieger, MH|Krieger, JE|Azeredo-Espin, AML",Univ Estadual Campinas|Univ Estadual Campinas|Univ Taubate|Univ Sao Paulo,12,AQUACULTURE,0044-8486,1873-5622
WOS:000179914600013,2002,On the information content of 2D and 3D descriptors for QSAR,"Oprea, TI",AstraZeneca R&D|Univ New Mexico,18,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY,0103-5053,1678-4790
WOS:000181425900006,2003,Mechanism of thrombin-induced vasodilation in human coronary arterioles,"Miura, H|Nicolosi, AC|McDonald, M|Manthei, SA|Saito, T|Hatoum, OA|Gutterman, DD|Sato, A|Terata, K|Bosnjak, JJ",Akita Univ|Midwest Heart Surg Inst|Vet Affairs Med Ctr|Med Coll Wisconsin,10,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000181425900008,2003,P38 MAPK: critical molecule in thrombin-induced NF-kappa B-dependent leukocyte recruitment,"Kaur, J|Woodman, RC|Kubes, P",Univ Calgary,36,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000181425900037,2003,Coronary flow-induced inotropism is modulated by binding of dextrans to the endothelial luminal surface,"Gonzalez-Castillo, C|Rubio, R|Zenteno-Savin, T",Ctr Invest Biol Noroeste|Univ Autonona San Luis Potosi,14,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000181623500001,2003,"Keith A. Reimer, MD, PhD, 1945-2002 - In memoriam","Murry, CE|Kloner, RA",Univ Washington,0,JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,1095-8584
WOS:000182392600012,2003,Anti-inflammatory strategies for the treatment of sepsis,"Riedemann, NC|Ward, PA",Univ Michigan,25,EXPERT OPINION ON BIOLOGICAL THERAPY,1471-2598,1744-7682
WOS:000182610600031,2003,Novel strategies for the treatment of sepsis,"Guo, RF|Ward, PA|Riedemann, NC",Univ Michigan,545,NATURE MEDICINE,1078-8956,1546-170X
WOS:000183125500011,2003,A novel rat lipoxin A(4) receptor that is conserved in structure and function,"Serhan, CN|Takano, T|Chiang, N|Arita, M|Watanabe, S",McGill Univ|Harvard Univ|Brigham & Womens Hosp,63,BRITISH JOURNAL OF PHARMACOLOGY,0007-1188,1476-5381
WOS:000183200100007,2003,Tumor necrosis factor-alpha induces early-onset endothelial adhesivity by protein kinase C zeta-dependent activation of intercellular adhesion molecule-1,"Anwar, KN|Javaid, K|Malik, AB|Minshall, RD|Frey, RS|Rahman, A",Univ Illinois,92,CIRCULATION RESEARCH,0009-7330,1524-4571
WOS:000185847200117,2003,A region directly following the second transmembrane domain in gamma ENaC is required for normal channel gating,"Snyder, PM|Patel, P|Stockand, JD|Booth, RE|Medina, J|Tong, QS",Univ Iowa|Univ Iowa|Univ Texas,18,JOURNAL OF BIOLOGICAL CHEMISTRY,0021-9258,1083-351X
WOS:000185958400020,2003,Integrin-mediated suppression of endotoxin-induced DNA damage in lung endothelial cells is sensitive to poly(ADP-ribose) polymerase-1 gene deletion,"Hoyt, DG|Huang, H|McIntosh, JL|Fang, LY|Szabo, C",Semmelweis Univ|Semmelweis Univ|Inotek Corp|Ohio State Univ,6,INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,1107-3756,1791-244X
WOS:000188067500005,2003,Regulatory role of C5a in LPS-induced IL-6 production by neutrophils during sepsis,"Reuben, JS|Riedemann, NC|Hollmann, TJ|Gao, HW|Neff, TA|Guo, RF|Speyer, CL|Sarma, JV|Wetsel, RA|Zetoune, FS|Ward, PA",Univ Texas|Univ Michigan,0,FASEB JOURNAL,0892-6638,1530-6860
WOS:000188602200015,2004,The dark side of C5A in sepsis,"Ward, PA",Univ Michigan,241,NATURE REVIEWS IMMUNOLOGY,1474-1733,1474-1741
WOS:000188783200015,2004,Spatial and temporal control of angiogenesis and arterialization using focal applications of VEGF(164) and Ang-1,"Price, RJ|Peirce, SM|Skalak, TC",Univ Virginia,48,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,0363-6135,1522-1539
WOS:000189108800006,2004,Coronary vasospasm and the regulation of coronary blood flow,"Konidala, S|Gutterman, DD",Med Coll Wisconsin|Med Coll Wisconsin,42,PROGRESS IN CARDIOVASCULAR DISEASES,0033-0620,1873-1740
WOS:000202989900001,2006,Introduction to the Vascular November-December basic science issue,"Dardik, Alan",Yale Univ,0,VASCULAR,1708-5381,1708-539X
WOS:000208234300010,2009,Integrin linked kinase (ILK) expression and function in vascular smooth muscle cells,"Bendeck, Michelle P.|Ho, Bernard",Univ Toronto,17,CELL ADHESION & MIGRATION,1933-6918,1933-6926
WOS:000209370400091,2013,Controlled mechanical ventilation in septic animals: Effects on diaphragm function,"Hussain, Sabah|Asley, Smuder|Scott, Powers|Thomas, Debby|Greet, Hermans|Angela, Stamiris|Gayan-Ramirez, Ghislaine|Nele, Cielen|Decramer, Marc|Maes, Karen",McGill Univ|Univ Hosp|Univ Florida|KULeuven,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209370400136,2013,Right ventricular lymphatic insufficiency is associated with increased edema in pulmonary hypertension,"Stenmark, Kurt|Colvin, Kelley|Yeager, Michael",Univ Colorado Denver|Univ Colorado Denver|Univ Colorado Denver,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209370400509,2013,Endothelial progenitor cells are dysfunctional in smokers and COPD patients due to increased DNA damage and senescence,"Barnes, Peter J.|Starke, Richard D.|Mercado, Nicolas|Paschalaki, Koralia E.|Margariti, Andriana|Hu, Yanhua|Gorgoulis, Vassilis G.|Randi, Anna M.",Kings Coll London|Univ Athens|Univ London Imperial Coll Sci Technol & Med|Univ London Imperial Coll Sci Technol & Med,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209370402651,2013,Characteristics of idiopathic pulmonary arterial hypertension (IPAH) and PAH associated with connective tissue disease (APAH-CTD) patients in PROSPECT,"Chakinala, Murali|Hartline, Brian|Miller, Dave|Rosenberg, Daniel|Farber, Harrison|Frantz, Robert|Benton, Wade|Barst, Robyn|Schilz, Robert",Columbia Univ Coll Phys & Surg|Actel Pharmaceut Ltd|ICON Plc|Actel Pharmaceut US Inc|Washington Univ|Univ Hosp Cleveland|Mayo Clin|Boston Univ,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209370404344,2013,Roles of circulating and resident myeloid cell subpopulations in bronchopulmonary remodeling and pulmonary hypertension,"Colvin, Kelley|Yeager, Michael|Stenmark, Kurt",Univ Colorado Denver|Univ Colorado Denver|Univ Colorado Denver,0,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003
WOS:000209419300003,2009,The interaction of Thrombospondins with extracellular matrix proteins,"Lawler, Jack|Tan, Kemin",Harvard Univ|Beth Israel Deaconess Med Ctr|Argonne Natl Lab|Argonne Natl Lab,35,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209419300006,2009,"The role of thrombospondins in wound healing, ischemia, and the foreign body reaction","Kyriakides, Themis R.|MacLauchlan, Susan",Yale Univ|Yale Univ|Yale Univ|Yale Univ,55,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209419300010,2009,SPARC: a matricellular regulator of tumorigenesis,"Brekken, Rolf A.|Arnold, Shanna A.",Univ Texas SW Med Ctr Dallas|Univ Texas SW Med Ctr Dallas,77,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209419300011,2009,"The many facets of the matricelluar protein periostin during cardiac development, remodeling, and pathophysiology","Hoffman, Stanley|Moreno-Rodriguez, Ricardo|Norris, Russell A.|Markwald, Roger R.",Med Univ S Carolina,62,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209419600005,2010,A novel role of CCN3 in regulating endothelial inflammation,"Perbal, Bernard|Kawanami, Daiji|Hamik, Anne|Shi, Hong|Natesan, Viswanath|Lin, Zhiyong|Jain, Mukesh K.|Rittie, Laure|Firth, Sue M.|Atkins, G. Brandon|Jin, Zheng-Gen|Wang, Weiye|Mahabaleshwar, Ganapati H.|Hao, Caili",Univ Paris|Univ Michigan|Univ Sydney|Univ Rochester|Univ Rochester|Case Western Reserve Univ|Case Western Reserve Univ,27,JOURNAL OF CELL COMMUNICATION AND SIGNALING,1873-9601,1873-961X
WOS:000209424100005,2012,Advances in biomimetic regeneration of elastic matrix structures,"Sivaraman, Balakrishnan|Bashur, Chris A.|Ramamurthi, Anand",Cleveland Clin,6,DRUG DELIVERY AND TRANSLATIONAL RESEARCH,2190-393X,2190-3948
WOS:000209535300011,2013,Aortic Root Remodeling and Risk of Heart Failure in the Framingham Heart Study,"Aragam, Jayashri|Levy, Daniel|Lee, Douglas S.|Larson, Martin G.|Gona, Philimon|Lam, Carolyn S. P.|Cheng, Susan|Benjamin, Emelia J.|Vasan, Ramachandran S.|Mitchell, Gary F.",Harvard Univ|NHLBI|Cardiovasc Engn Inc|Univ Toronto|Univ Toronto|Vet Adm Hosp|Boston Univ|Univ Massachusetts|Boston Univ|Boston Univ|Framingham Heart Dis Epidemiol Study,13,JACC-HEART FAILURE,2213-1779,2213-1787
WOS:000209571500002,2014,Talin and kindlin: the one-two punch in integrin activation,"Snider, Adam K.|Ginsberg, Mark H.|Ye, Feng",Univ Calif San Diego,44,FRONTIERS OF MEDICINE,2095-0217,2095-0225
WOS:000209619900001,2012,A Curriculum for the New Dental Practitioner: Preparing Dentists for a Prospective Oral Health Care Environment,"Polverini, Peter J.",Univ Michigan,5,AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,1541-0048
WOS:000209781000009,2007,Expression of conserved signalling pathway genes during spontaneous vascular differentiation of R1 embryonic stem cells and in Py-4-1 endothelial cells,"Siva, Kavitha|Inamdar, Maneesha S.|Gokul, K.",Jawaharlal Nehru Ctr Adv Sci Res,0,JOURNAL OF BIOSCIENCES,0250-5991,0973-7138
WOS:000209827500002,2014,Structural contributions to fibrillatory rotors in a patient-derived computational model of the atria,"Vincent, Kevin P.|Gonzales, Matthew J.|Rappel, Wouter-Jan|Narayan, Sanjiv M.|McCulloch, Andrew D.",VA San Diego Healthcare Syst|Univ Calif San Diego|Univ Calif San Diego|Univ Calif San Diego|Univ Calif San Diego|Univ Calif San Diego,16,EUROPACE,1099-5129,1532-2092
WOS:000209838202583,2014,Loss Of Wnt7a Predisposes To Small Vessel Loss And Pulmonary Hypertension By Reducing Endothelial Response To VEGF Stimulation,"Orcholski, M.|Perez, V. De Jesus|Winn, R.|Crossno, J.|Yuan, K.|Rojas, V.",Stanford Univ|Univ Colorado|Stanford Univ|Stanford Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838203183,2014,Nanoparticle Delivery To Lung Cells And Lungs,"Chun, H. J.|Kang, Y.|Lee, P. J.|Lee, J. J.|Sauler, M.|Seo, Y. -E.|Kim, J.|Saltzman, M.",Yale Univ|Yale Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838204245,2014,Changes In Gene Expression Profiles In Patients With Pulmonary Arterial Hypertension Associated With Scleroderma Treated With Tadalafil,"Gower, A. C.|Cheong, F. -Y.|Farber, H. W.",Boston Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838204301,2014,Resistin-Like Molecule Proteins Cause Vascular Endothelial Activation And Apoptosis: Cross Talk Between Endothelial And Smooth Muscle Cells,"Yamaji-Kegan, K.",Johns Hopkins Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838205344,2014,"Role Of The Mif Receptor, Cd74, In Hyperoxic Lung Injury","Sauler, M.|Leng, L.|Haslip, M.|Shan, P.|Piecychna, M.|Bucala, R.|Lee, P. J.|Jorgensen, W. L.",Yale Univ|Yale Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838206144,2014,Prolonged Mechanical Ventilation In Humans Triggers Myofilament Contractile Dysfunction And Selective Myofilament Protein Degradation In The Diaphragm,"Goldberg, P.|De Varennes, B.|Rassier, D.|Mofarrahi, M.|Cornachione, A.|Leite, F. De Souza|Al Khunaizi, A.|Hussain, S.|Guichon, C.",McGill Univ|McGill Univ,1,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209838402676,2013,Tlr4 Protects Against Oxidant-Induced Injury By Regulating The Endothelial Response To VEGF,"Lee, P.|Shan, P.|Takyar, S.|Zhang, J. -G.|Zhang, Y.",Yale Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209839100754,2013,Hypoxia-Induced Mitogenic Factor (himf/fizz1/relm alpha) Induces Pulmonary Endothelial Cell Apoptosis And Subsequent Pulmonary Hypertension In A Th2-Dependent Mechanism,"Takimoto, E.|Yamaji-Kegan, K.|Johns, R. A.|Meuchel, L.",Johns Hopkins Univ,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209839100757,2013,Endothelial-Monocyte-Activating Polypeptide Ii (emapii) Is Involved In Pulmonary Hypertension,"Albrecht, M.|Weissmann, N.|Voswinckel, R.|Clauss, M.|Lahm, T.|Petrache, I.|Presson, R. G.|Fisher, A.|Wood, J.",Justus Liebig Univ Giessen|Indiana Univ Sch Med|IU Sch Med,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209839103009,2013,The Rna Splicing Factor Ptbp1 Plays A Critical Role In Promoting Proliferation And Migration Of Adventitial Fibroblasts In Pulmonary Hypertension,"Wang, D.|Li, M.|Stenmark, K. R.|Sucharov, C.|Flockton, A.|Morrell, N. W.|Zhang, H.",Addenbrookes Hosp|Univ Colorado Denver|Univ Colorado,0,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970
WOS:000209967200012,2002,Endothelial activation: intracellular signaling pathways,"Pober, Jordan S.",Yale Univ,86,ARTHRITIS RESEARCH & THERAPY,1478-6354,1478-6362
WOS:000209981400005,2013,Dysfunctional resident lung mesenchymal stem cells contribute to pulmonary microvascular remodeling,"Majka, Susan M.|Fessel, Joshua P.|Kaoriihida-Stansbury|Schmidt, Eric P.|Gaskill, Christa|Alvarez, Diego|Graham, Brian|Harrison, David G.|Wagner, David H., Jr.|Nozik-Grayck, Eva|West, James D.|Klemm, Dwight J.|Chow, Kelsey",Univ S Alabama|Univ Penn|Vanderbilt Univ|Univ Colorado Denver|Univ Colorado Denver,36,PULMONARY CIRCULATION,2045-8932,2045-8940
WOS:000209981400023,2013,Combining induced pluripotent stem cell with next generation sequencing technology to gain new insights into pathobiology and treatment of pulmonary arterial hypertension,"Rabinovitch, Marlene",Stanford Univ,3,PULMONARY CIRCULATION,2045-8932,2045-8940
WOS:000209981500020,2013,A case of recurrent pericardial constriction presenting with severe pulmonary hypertension,"Brunner, Nathan W.|Ramachandran, Krithika|Kudelko, Kristina T.|Sung, Yon K.|Spiekerkoetter, Edda|Yang, Phillip C.|Zamanian, Roham T.|Perez, Vinicio de Jesus",Stanford Univ|Stanford Univ|Stanford Univ,0,PULMONARY CIRCULATION,2045-8932,2045-8940
WOS:000209982000005,2013,Bone marrow-derived vascular modulatory cells in pulmonary arterial hypertension,"Asosingh, Kewal|Erzurum, Serpil C.|Farha, Samar|Lanzola, Emily",Cleveland Clin|Cleveland Clin,3,PULMONARY CIRCULATION,2045-8932,2045-8940
WOS:000209982200005,2014,Epigenetic modifications: basic mechanisms and role in cardiovascular disease (2013 Grover Conference series),"Loscalzo, Joseph|Handy, Diane E.",Harvard Med Sch,21,PULMONARY CIRCULATION,2045-8932,2045-8940
